"","VTDST20GEOID","B15003_001","B15003_002","B15003_003","B15003_004","B15003_005","B15003_006","B15003_007","B15003_008","B15003_009","B15003_010","B15003_011","B15003_012","B15003_013","B15003_014","B15003_015","B15003_016","B15003_017","B15003_018","B15003_019","B15003_020","B15003_021","B15003_022","B15003_023","B15003_024","B15003_025"
"8640","42119000240",548.006399260542,13.764002987304,0,0,0,0,0,0,0,0,0,0.688789237668161,9.41747572815534,9.33234694253459,28.4899258867303,7.32337833266912,278.312226847557,25.8653717217521,33.9091484509221,7.20858012639109,68.7724578612645,64.9226951375935,0,0,0
"8641","42119000250",581.28,0,0,0,0,0,0,0,0,0,0,0,13.8133333333333,16.0533333333333,7.84,46.2933333333333,262.453333333333,43.3066666666667,36.5866666666667,44.4266666666667,24.2666666666667,47.04,35.84,0,3.36
"8642","42121000010",199.375120540019,1.09546769527483,0,0,0,0,0,0,0,0,1.09546769527483,1.36933461909354,1.64320154291225,6.02507232401157,1.91706846673095,5.75120540019286,90.6499517839923,11.5024108003857,15.8842815814851,12.5978784956606,20.8138862102218,20.8138862102218,8.21600771456123,0,0
"8643","42121000020",136.857737682165,0.391394864677307,0,0,0,0,0,1.04371963913949,0.521859819569743,0,0.391394864677307,0,1.17418459403192,1.69604441360167,2.87022900763359,3.39208882720333,53.7515614156836,17.7432338653713,3.91394864677307,15.6557945870923,8.7411519777932,19.8306731436502,5.34906315058987,0.391394864677307,0
"8644","42121000030",632.071120689655,4.71192528735632,3.36566091954023,0,0,0,0,0,0,0,0,10.7701149425287,22.2133620689655,22.2133620689655,8.7507183908046,3.36566091954023,262.521551724138,43.0804597701149,17.5014367816092,37.6954022988506,51.1580459770115,80.7758620689655,50.4849137931034,0.673132183908046,12.7895114942529
"8645","42121000050",685.311063218391,3.42313218390805,0,0,0,0,0,0,3.42313218390805,4.10775862068965,6.16163793103448,78.0474137931034,10.2693965517241,17.8002873563218,25.3311781609195,21.2234195402299,270.427442528736,28.7543103448276,26.0158045977011,75.308908045977,33.5466954022989,58.8778735632184,21.2234195402299,1.36925287356322,0
"8646","42121000060",315.688936781609,1.57686781609195,0,0,0,0,0,0,1.57686781609195,1.89224137931034,2.83836206896552,35.9525862068966,4.73060344827586,8.19971264367816,11.6688218390805,9.77658045977012,124.572557471264,13.2456896551724,11.9841954022989,34.691091954023,15.4533045977012,27.1221264367816,9.77658045977012,0.630747126436782,0
"8647","42121000070",311.152941176471,1.34117647058824,0,0,0,0,0,0,0,0,0,4.02352941176471,2.01176470588235,3.35294117647059,2.01176470588235,2.01176470588235,166.976470588235,10.0588235294118,19.4470588235294,28.1647058823529,34.8705882352941,23.4705882352941,12.0705882352941,1.34117647058824,0
"8648","42121000116",1653.91203823853,15.6387337057728,0,0,0,0,0,0,0,0,1.27401415571284,0,20.2383612662942,14.2300088367008,19.3184357541899,19.9697968746226,855.169093555059,84.4572391802053,62.3214607873875,160.632895708466,92.2617652973198,220.271865103306,74.4242457921859,0.891809908998989,12.8123123123123
"8649","42121000136",1937.37170704742,36.3200890508177,0,0,0,0,0,0,0,0,16.3588598964038,0,7.9546682243224,20.1519630070068,50.2818027819128,0,904.349797910503,59.2060240259328,79.674779019951,192.07874920998,125.577694682924,317.155340612812,109.324498916706,14.6610231691021,4.27641653905054
